Categoria,Tipu,Producte,Imatge,Alergens
Congelados,"Helados, postres y nata",Go! sándwich de nata y trocitos de galleta al cacao entre galletas de chocolate 4 unidades,00118953907328____1__600x600.jpg,"['Leche', 'mantequilla', 'soja', 'huevo', 'cacahuetes', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",sándwich de helado de vainilla y chocolate 6 unidades,00118953906460____3__600x600.jpg,"['leche', 'trigo', 'huevo', 'Leche']"
Congelados,"Helados, postres y nata",sándwich de helado sabor a nata 6 unidades,00118953906478____1__600x600.jpg,"['leche', 'trigo', 'huevo', 'Leche']"
Congelados,"Helados, postres y nata",sándwich de helado sabor a nata sin azúcares añadidos 6 unidades,00118953906452____3__600x600.jpg,"['leche', 'trigo', 'Leche']"
Congelados,"Helados, postres y nata",Supersándwich helado de stracciatella con cobertura de galleta y chocolate 4 unidades,00118953906494____1__600x600.jpg,"['almendra', 'Leche', 'mantequilla', 'lactosa', 'soja', 'cebada', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Supersándwich helado de vainilla y cobertura de chocolate 4 unidades,00118953906825____1__600x600.jpg,"['almendra', 'mantequilla', 'lactosa', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",minisándwich helado sabor stracciatela 6 unidades,00118953906981____1__600x600.jpg,"['almendra', 'mantequilla', 'lactosa', 'soja', 'cebada', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Cream Crisp sándwich helado de caramelo con galleta de barquillo 3 unidades,00118953901073____1__600x600.jpg,"['mantequilla', 'soja', 'huevo', 'Nata', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",sándwich de galleta con helado de vainilla y chocolate 6 unidades,00118953904390____1__600x600.jpg,"['metabisulfito', 'Leche', 'frutos secos', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",sándwich de galleta con helado de nata 6 unidades,00118953904382____1__600x600.jpg,"['metabisulfito', 'Leche', 'frutos secos', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Cookie sándwich de galleta con helado de vainilla y trocitos de chocolate 4 unidades,00201153904378____1__600x600.jpg,"['Leche', 'mantequilla', 'soja', 'huevo', 'cebada', 'avellana', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Cookie mini sándwich de galleta con helado de vainilla y trocitos de chocolate 6 unidades,00118953907435____1__600x600.jpg,"['Leche', 'mantequilla', 'soja', 'huevo', 'cebada', 'avellana', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Nata sándwich de helado de nata y trocitos de chocolate,00118953906783____1__600x600.jpg,"['Leche', 'avellanas', 'frutos secos', 'soja', 'huevo', 'cebada', 'avellana', 'gluten', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",mini sándwich con helado de nata galleta y trocitos de chocolate 6 unidades,00118953900133____1__600x600.jpg,"['Leche', 'frutos secos', 'soja', 'huevo', 'cebada', 'avellana', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",sándwich helado de galleta oreo 6 unidades,00118953905843____1__600x600.jpg,"['nata', 'soja', 'cacahuete', 'huevo', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Cookie Black mini sándwich de galleta con helado chocolate y trocitos de chocolate,00118953907443____1__600x600.jpg,"['Leche', 'mantequilla', 'soja', 'huevo', 'cebada', 'avellana', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Happy Mix surtido de polos infantiles 7 unidades,00118954100642____3__600x600.jpg,"['Leche', 'frutos secos', 'láctea', 'soja', 'cacahuete', 'huevo', 'gluten', 'leche', 'trigo']"
Congelados,"Helados, postres y nata","Chuches helados sabor nubes, coca cola, ladrillos y moras sin gluten",00118954100881____1__600x600.jpg,"['leche', 'soja', 'frutos de cáscara']"
